dataset,n_components,accuracy_mean,accuracy_std,fit_seconds_mean,fit_seconds_std,total_seconds_mean,total_seconds_std,n_folds
HAR,1,0.6210551611949128,0.012498666797813978,1.7503315250971354,0.192869079658076,1.7630226332810708,0.19315001852652533,10
HAR,3,0.8592208296362023,0.013284221097511,2.6155706208897755,0.03766501799397931,2.6278801457956433,0.03793928494310467,10
HAR,5,0.9800051759834367,0.005880058813445763,3.691185445978772,0.05199069787330848,3.7038204959942957,0.05244676296551364,10
YEAST,1,0.3834402584402584,0.04764102058005832,0.4156760000390932,0.003968384263190752,0.41900374975521115,0.003892136621207683,5
YEAST,5,0.5566475566475566,0.05440816220470297,0.9965637833811343,0.004740446401044718,1.0002245999639854,0.004642200983296462,5
YEAST,9,0.5963963963963964,0.035385429557319235,1.4291971415979787,0.002282250419842549,1.4328291836194693,0.002275888454023445,5
