scenario,model,fit_seconds_mean,fit_seconds_std,total_seconds_mean,total_seconds_std,test_accuracy_mean,test_accuracy_std
binary_high_dim,GBM,2.7022993834107183,0.02467131587752696,2.702976858406328,0.02468436003800189,0.77,0.031710495984067416
binary_high_dim,LDA+GBM,0.07725379978073761,0.01449142665780573,0.07789927457924932,0.014620349855669821,0.6853333333333333,0.017888543819998333
binary_high_dim,LdaBoost,2.682958400028292,0.10531365294365261,2.6999622664414344,0.10538515873835125,0.6813333333333333,0.02008316044185606
binary_high_dim,PCA+GBM,0.5060448915930464,0.012195543556975058,0.506723841605708,0.012248907884722575,0.7613333333333333,0.03452857110020954
multiclass_moderate_dim,GBM,4.496918124798685,0.05390753409862919,4.4991797498078085,0.05402066433699807,0.5906666666666667,0.0257552583627758
multiclass_moderate_dim,LDA+GBM,0.36466245841002093,0.004719437155597447,0.367068466625642,0.004726239757053051,0.536,0.028225284173355368
multiclass_moderate_dim,LdaBoost,1.1526113248080947,0.010169047513113554,1.1775207249913364,0.010373492114185279,0.5406666666666666,0.033449796544805586
multiclass_moderate_dim,PCA+GBM,1.312308274989482,0.011890095072571334,1.3146342165768146,0.011945890602491885,0.586,0.01831817555204545
