correlation,n_features,n_reps,mean_acc,std_acc
0.0,5,5,0.428904,0.009972
0.0,50,5,0.369930,0.014661
0.0,100,5,0.354779,0.020974
0.0,300,5,0.295571,0.010388
0.0,400,5,0.271096,0.015081
0.3,5,5,0.466200,0.023252
0.3,50,5,0.551515,0.019128
0.3,100,5,0.508858,0.026358
0.3,300,5,0.421212,0.020568
0.3,400,5,0.392541,0.015782
0.7,5,5,0.621212,0.026993
0.7,50,5,0.627506,0.031624
0.7,100,5,0.546620,0.016267
0.7,300,5,0.441958,0.012031
0.7,400,5,0.407925,0.007625
