correlation,n_features,n_reps,mean_acc,std_acc
0.0,5,5,0.441400,0.014378
0.0,50,5,0.428500,0.007778
0.0,100,5,0.434300,0.009826
0.0,300,5,0.373200,0.003855
0.0,400,5,0.348900,0.014434
0.3,5,5,0.470800,0.010274
0.3,50,5,0.576300,0.036023
0.3,100,5,0.570700,0.023895
0.3,300,5,0.490500,0.008573
0.3,400,5,0.465000,0.003435
0.7,5,5,0.635700,0.028117
0.7,50,5,0.650600,0.021495
0.7,100,5,0.593900,0.014555
0.7,300,5,0.505400,0.009876
0.7,400,5,0.486600,0.004923
