correlation,n_features,n_reps,mean_acc,std_acc
0.0,5,5,0.690000,0.020111
0.0,50,5,0.676000,0.036111
0.0,100,5,0.648000,0.024276
0.0,300,5,0.632000,0.016411
0.0,400,5,0.646667,0.022608
0.3,5,5,0.703333,0.026077
0.3,50,5,0.765333,0.039922
0.3,100,5,0.734000,0.017689
0.3,300,5,0.640667,0.019368
0.3,400,5,0.613333,0.032249
0.7,5,5,0.800000,0.010954
0.7,50,5,0.792667,0.040683
0.7,100,5,0.763333,0.044372
0.7,300,5,0.655333,0.016411
0.7,400,5,0.630000,0.025033
