correlation,n_features,n_reps,mean_acc,std_acc
0.0,5,5,0.688300,0.013216
0.0,50,5,0.698500,0.007772
0.0,100,5,0.710300,0.012580
0.0,300,5,0.695800,0.010819
0.0,400,5,0.690300,0.004567
0.3,5,5,0.712600,0.012670
0.3,50,5,0.792800,0.048958
0.3,100,5,0.777400,0.014108
0.3,300,5,0.740700,0.005344
0.3,400,5,0.728700,0.008790
0.7,5,5,0.812800,0.028949
0.7,50,5,0.825600,0.025662
0.7,100,5,0.788500,0.010747
0.7,300,5,0.743600,0.004620
0.7,400,5,0.725400,0.010997
