correlation,n_features,n_reps,mean_acc,std_acc
0.0,5,5,0.407333,0.015114
0.0,50,5,0.320667,0.027358
0.0,100,5,0.315333,0.018571
0.0,300,5,0.254667,0.023343
0.0,400,5,0.262667,0.021848
0.3,5,5,0.450000,0.030696
0.3,50,5,0.469333,0.023889
0.3,100,5,0.418667,0.010873
0.3,300,5,0.341333,0.022470
0.3,400,5,0.334667,0.016138
0.7,5,5,0.611333,0.047451
0.7,50,5,0.568000,0.033639
0.7,100,5,0.458000,0.017714
0.7,300,5,0.366000,0.017436
0.7,400,5,0.328000,0.020067
