correlation,n_features,n_reps,mean_acc,std_acc
0.0,5,5,0.548000,0.033307
0.0,50,5,0.508000,0.018086
0.0,100,5,0.474667,0.010022
0.0,300,5,0.430667,0.026783
0.0,400,5,0.452000,0.028016
0.3,5,5,0.591333,0.022271
0.3,50,5,0.618000,0.024000
0.3,100,5,0.594667,0.018571
0.3,300,5,0.490000,0.020976
0.3,400,5,0.464667,0.019160
0.7,5,5,0.740667,0.041601
0.7,50,5,0.703333,0.036515
0.7,100,5,0.656000,0.033559
0.7,300,5,0.501333,0.019160
0.7,400,5,0.491333,0.038216
